1	Музыка Прогрессивная музыка Техано Электропоп Рок Альтернативный Рок Гаражный рок Гранж Инструментальный рок Математический рок Постпанк Построк Прогессивный рок Психоделический рок Экспериментальный рок Христианский рок Джаз Авангардный джаз Бибоп Босанова Диксиленд Латиноамериканский джаз Модальный джаз Новоорлеанский джаз Свинг Страйд Чикагский джаз Кантри Вестерн Неотрадиционализм Urban cowboy Латиноамериканская музыка	42	1
2	музыка	42	0
3	Транспорт Пункт 1 Пункт 2	43	1
4	Транспорт	43	0
5	Оружие Технические характеристики Дальность стрельбы Скорострельность Энергия выстрела Среда движения выстрела Характеристика выстрела Технические особенности Массогабариты оружия Чувствительность к внешним воздействиям Разновидности По применению Обычное оружие Пневматическое оружие Метательное оружие Гладкоствольное оружие Травматическое оружие Огнестрельное оружие Артиллерийское вооружение Газовое оружие Зажигательное оружие Ракетное оружие Оружие массового поражения Ядерное оружие Химическое оружие Биологическое оружие Нетрадиционное оружие и оружие на новых физических принципах Генетичекое оружие Геофизическое оружие Инфразвуковое оружие Лазерное оружие Радиологическое оружие Сверхвысокочастотное оружие Ускорительное оружие Электромагнитное оружие Плазменное оружие Психотронное оружие Холодное оружие По категории использующих его лиц Боевое оружие Служебное оружие Гражданское оружие Сигнальное оружие Охолощенное оружие Холодное клинковое оружие Спортивное оружие Охотничье оружие Холодное оружие Огнестрельное оружие Одноствольное Двуствольное Трехствольное Оружие самообороны Коллекционное оружие По мобильности Стрелковое оружие Буксируемое оружие Возимое оружие Подвижное оружие Самоходное оружие Стационарное оружие Вымышленное оружие Высокотехнологическое оружие Огнестрельное оружие Излучатели Парализаторы Клинковое оружие Кибернетическое оружие Снаряды особой мощности Деформаторы Магическое оружие Магический посох Волшебная палочка Приспособления против нежити Автономное оружие Легендарное оружие Примеры Античное оружие Средневековое оружие История Первобытное общество Древний мир Средние века Группы стран Европа Западная Азия Византия Восточная Азия Америка Новое время Новейшее время Боевая эффективность оружия Торговля оружием	27	1
6	Оружие	27	0
7	Тест 2 Пункт 1 Пункт 2	16	1
8	Тест 2	16	0
9	одежда Пункт 1 Пункт 2	25	1
10	одежда	25	0
11	новый Пункт 1 Пункт 2	20	1
12	новый	20	0
13	Кондитерские изделия Сахаристые Безе Варенье Пункт 2 New node New node New node New node	40	1
14	QQ	40	0
15	Словари Лингвистические Одноязычные словари Толковый словарь Терминологический словарь словарь трудностей словарь правильностей Орфографический словарь Грамматический словарь школьный словарь общий словарь отраслевой словарь Орфоэпический словарь Этимологический словарь Словообразовательный словарь Словарь омонимов словарь паронимов словарь омографов Словарь морфем словарь корней словарь аффиксов Антропонимический словарь словарь имен собственных словарь фамилий словарь иностранных имен собственных словарь прозвищ Топонимический словарь Словарь синонимов Словарь антонимов Фразеологический словарь словарь цитат Словарь языка писателей Словарь сочетаемости слов Обратный словарь Частотный  словарь словарь редких слов Словарь литературоведческих терминов словарь метафор словарь эпитетов словарь сравнений словарь экспрессивной лексики Словарь жаргонных терминов Исторический словарь словарь устаревших слов словарь неологизмов словарь современного языка словарь древнеславянского языка словарь готского языка Диалектный словарь Словарь сокращений Словарь языкового расширения Словарь окказионализмов Словарь служебных слов Словарь детской речи Двуязычные словари Переводной словарь общелексический словарь разговорник для моряков спортивный разговорник Энциклопедические Универсальный словарь Отраслевой словарь биологический словарь лингвистический словарь философский словарь педагогический словарь юридический словарь музыкальный словарь медицинский словарь географический словарь военный словарь словарь туризма химический словарь экономический словарь Региональный словарь словарь Якутии словарь Костромского края Биографические словарь писателей словарь политических деятелей Узко отраслевые словарь лекарственных растений словарь психологии общения	26	1
16	Словари	26	0
